Player,PPG,APG,RPG,BSPG,TS%,PER,WS/48,Age,Seasons,Draft Pos,All Stars,Games Played,Guard,Forward,Big Market,Rookie Deal,Salary
Giannis Antetokounmpo,30.4,6.5,11.5,2.3,64.9,29.9,0.246,29,10,15,8,73,0,1,0,0,"$45,640,084.00"
Nikola Jokic,26.4,9,12.4,2.3,65,31,0.299,28,9,41,6,79,0,0,0,0,"$47,607,350.00"
Joel Embiid,34.7,11,5.6,2.9,64.4,34.1,0.275,29,8,3,7,39,0,0,1,0,"$47,607,350.00"
Luka Doncic,33.9,9.8,9.2,1.9,61.7,28.1,0.22,24,6,3,5,70,1,0,1,0,"$40,064,220.00"
Stephen Curry,26.4,5.1,4.5,1.1,61.6,20.6,0.142,35,14,7,10,74,1,0,1,0,"$51,915,615.00"
Jayson Tatum,26.9,4.9,8.1,1.6,60.4,22.3,0.189,25,7,3,5,74,0,1,1,0,"$32,600,060.00"
Kevin Durant,27.1,5,6.6,2.1,62.6,21.2,0.142,35,16,2,14,75,0,1,0,0,"$47,649,433.00"
Shai Gilgeous-Alexander,30.1,6.2,5.5,2.9,63.6,29.3,0.275,25,6,11,2,75,1,0,0,0,"$33,386,850.00"
LeBron James,25.7,8.3,7.3,1.8,63,23.7,0.164,39,21,1,20,71,0,1,1,0,"$47,607,350.00"
Anthony Davis,24.7,3.5,12.6,3.5,62.1,25.8,0.21,30,12,1,9,76,0,0,1,0,"$40,600,080.00"
Devin Booker,27.1,6.9,4.5,1.3,61.1,21.9,0.181,27,9,13,4,68,1,0,0,0,"$36,016,200.00"
Jimmy Butler,20.8,5,5.3,1.6,62.6,22,0.214,34,13,30,6,60,0,1,0,0,"$45,183,960.00"
Anthony Edwards,25.9,5.1,5.4,1.8,57.5,19.7,0.13,22,4,1,2,79,1,0,0,1,"$13,534,817.00"
Damian Lillard,24.3,7,4.4,1.2,59,19.6,0.143,33,12,6,8,73,1,0,0,0,"$45,640,084.00"
Donovan Mitchell,26.6,6.1,5.1,2.3,59.5,22.1,0.159,27,7,13,5,55,1,0,0,0,"$32,600,060.00"
Bam Adebayo,19.3,3.9,10.4,2,57.6,19.8,0.144,26,7,14,3,71,0,0,0,0,"$32,600,060.00"
Jamal Murray,21.2,6.5,4.1,1.7,58.6,20.7,0.153,26,7,7,0,59,1,0,0,0,"$33,833,400.00"
Paul George,22.6,3.5,5.2,2,61.3,19.3,0.14,33,14,10,9,74,0,1,1,0,"$45,640,084.00"
Jaylen Brown,23,3.6,5.5,1.7,58,18.6,0.121,27,8,3,3,70,0,1,1,0,"$31,830,357.00"
Karl Anthony-Towns,21.8,3,8.3,1.4,62.5,18.8,0.148,28,9,1,4,62,0,1,0,0,"$36,016,200.00"
Tyrese Haliburton,20.1,10.9,3.9,1.9,60.5,23.3,0.195,23,4,12,2,69,1,0,0,1,"$5,807,435.00"
Domantas Sabonis,19.4,13.7,8.2,1.5,63.7,23.2,0.206,27,8,11,3,82,0,0,0,0,"$28,000,000.00"
De'Aaron Fox,26.6,5.6,4.6,2.4,56.7,20.1,0.117,26,7,5,1,74,1,0,0,0,"$32,600,060.00"
Kawhi Leonard,23.7,3.6,6.1,2.5,62.6,23.2,0.184,32,12,15,6,68,0,1,1,0,"$45,640,084.00"
Pascal Siakam,21.7,4.3,7.1,1.1,60.1,19.7,0.124,29,8,27,2,80,0,1,0,0,"$37,893,408.00"
Jrue Holiday,12.5,4.8,5.4,1.7,59.7,14.4,0.133,33,15,17,2,69,1,0,1,0,"$34,954,667.00"
Brandon Ingram,20.8,5.7,5.1,1.4,57.8,18.2,0.117,26,8,2,1,64,0,1,0,0,"$33,833,400.00"
Lauri Markkanen,23.2,2,8.2,1.4,63.1,21.5,0.163,26,7,7,1,55,0,1,1,0,"$17,259,999.00"
Trae Young,25.7,10.8,2.8,1.5,58.5,20.3,0.114,25,6,5,3,54,1,0,1,0,"$40,064,220.00"
Paolo Banchero,22.6,5.4,6.9,1.5,54.6,17.3,0.09,21,2,1,1,80,0,1,0,1,"$11,608,080.00"
Jaren Jackson Jr.,22.5,2.3,5.5,2.8,55.2,17.4,0.067,24,6,4,1,66,0,0,0,0,"$27,102,202.00"
Jalen Brunson,28.7,6.7,3.6,1.1,59.2,23.4,0.198,27,6,33,1,77,1,0,1,0,"$26,346,666.00"
Mikal Bridges,19.6,3.6,4.5,1.4,56,14.9,0.07,27,6,10,0,82,0,1,1,0,"$21,700,000.00"
Kyrie Irving,25.6,5.2,5,1.8,60.8,21.9,0.163,31,13,1,8,58,1,0,1,0,"$37,037,037.00"
Ja Morant,25.1,8.1,5.6,1.4,57,20.6,0.124,24,5,2,2,9,1,0,0,0,"$34,005,250.00"
Darius Garland,18,6.5,2.7,1.4,56,14.5,0.067,24,5,5,1,57,1,0,0,0,"$34,005,250.00"
Bradley Beal,18.2,5,4.4,1.5,60.7,16.3,0.107,30,12,3,3,53,1,0,0,0,"$46,741,590.00"
Zach Lavine,19.5,3.9,5.2,1.1,57.8,15.1,0.08,28,10,13,2,25,1,0,1,0,"$40,064,220.00"
DeMar Derozan,24,5.3,4.3,1.7,58.4,19.7,0.147,34,15,9,6,79,0,1,1,0,"$28,600,000.00"
Evan Mobley,15.7,3.2,9.4,4.6,62.6,20.1,0.174,22,3,3,0,50,0,1,0,1,"$8,882,640.00"
Klay Thompson,17.9,2.3,3.3,1.1,57.6,13.9,0.075,33,11,11,5,77,1,0,1,0,"$43,219,440.00"
Tyrese Maxey,25.9,6.2,3.7,1.5,57.3,19.8,0.147,23,4,21,1,70,1,0,1,1,"$4,343,920.00"
James Harden,16.6,8.5,5.1,1.9,61.2,18.6,0.163,34,15,3,10,72,1,0,1,0,"$35,640,000.00"
CJ McCollum,20,4.6,4.3,1.5,59.2,17.9,0.132,32,11,10,0,66,1,0,0,0,"$35,802,469.00"
Julius Randle,24,5,9.2,0.8,56.9,18.9,0.113,29,10,7,3,46,0,1,1,0,"$25,660,800.00"
Khris Middleton,15.1,5.3,4.7,1.2,59.5,17,0.109,32,12,39,3,55,0,1,0,0,"$28,703,704.00"
Victor Wembanyama,21.4,3.9,10.6,4.8,56.5,23.1,0.085,20,1,1,0,71,0,0,0,1,"$12,160,680.00"
LaMelo Ball,23.9,8,5.1,2,56.1,20.8,0.074,22,4,3,1,22,1,0,0,1,"$10,900,000.00"
Deandre Ayton,16.7,1.6,11.1,1.8,58.7,18.9,0.106,25,6,1,0,55,0,0,0,0,"$32,459,438.00"
Jarrett Allen,16.5,2.7,10.5,1.8,66.4,21.8,0.21,25,7,22,1,77,0,0,0,0,"$20,000,000.00"
